영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
mmQj3M2pHkA,옥자,옥자 넷플릭스,"&#39;옥자&#39;(Okja) 봉준호 감독, 한동안 채식했던 진짜 이유",5475,60,7,2017-06-14T05:22:29Z
DAOCQc0rMfA,옥자,옥자 넷플릭스,"&#39;옥자&#39;(Okja) 봉준호 감독, 넷플릭스-극장 동시 상영 논란 솔직한 생각",5261,65,8,2017-06-14T04:55:45Z
A8Aq5J4Nkcs,옥자,옥자 넷플릭스,"[풀영상] &#39;Okja 옥자&#39; 봉준호, 틸다스윈튼, 스티븐 연 참석 기자간담회 동시통역 full.ver",4019,27,2,2017-06-14T06:02:58Z
bUz8AfDmV8k,옥자,옥자 넷플릭스,옥자: 캐스팅 비하인드부터 막내 바라기 7인조까지,2953,13,0,2017-06-09T05:03:18Z
JJ2ENvHMsGY,옥자,옥자 리뷰,옥자 예고편 및 기대평으로 심층 분석,983,20,12,2017-06-02T18:32:35Z
WYPmhK3f8j8,옥자,옥자 해석,[눈TV][N1★칸] 봉준호 감독이 직접 말하는 &#39;옥자(Okja)&#39; 속 숨은 의미(스포O),18339,188,12,2017-05-21T15:30:21Z
9XlHw1_9eWc,승리호,승리호 넷플릭스,"(ENG) 유난히 내성적이었던 김태리와 승리호 친구들은 왜 우주로 갔을까 would you야,, 혼자 사는 세상이 아니잖아 / [문명특급 EP.171]",4154281,95198,7089,2021-02-15T08:00:16Z
U3VcG3P5aMw,승리호,승리호 넷플릭스,Cast of Space Sweepers plays Jenga [ENG SUB],1249074,37234,1232,2021-02-25T01:00:02Z
NIMtsF8DCOM,승리호,승리호 넷플릭스,"현재 넷플릭스 승리호 전세계 1위 찍자 미국에서 대반전 반응 벌어진 이유, 중국, &quot;승리호 CG 우리가 만들었다&quot; 말했다가 그대로 역관광 당한 상황",748395,16741,1937,2021-02-08T10:18:10Z
sm6wGZOs0O8,승리호,승리호 넷플릭스,"승리호, 닉값을... 못했습니다... 승리호 리뷰",559065,7856,4114,2021-02-07T00:13:56Z
X0eCdVGR190,승리호,승리호 넷플릭스,"송중기, 김태리, 진선규, 유해진이 직접 밝힌 도로시 썰🌟| 승리호 Space Sweepers | 넷플릭스",530837,9083,407,2021-02-17T09:00:22Z
bf2MCTNUm78,승리호,승리호 넷플릭스,우주를 청소하는 악동들 [승리호][영화리뷰/결말포함],523104,3387,531,2021-02-10T08:05:45Z
jm2t1eOi1b4,승리호,승리호 넷플릭스,"송중기, 김태리 국민 MC 등극! 진선규, 유해진 찐 TMI 대방출🔥| 승리호 | 넷플릭스",519731,8745,404,2021-02-19T09:00:15Z
u__9KKrOSdk,승리호,승리호 넷플릭스,한국이 만든 전세계 넷플릭스 1위 영화,325301,5318,1687,2021-02-10T13:15:05Z
KM52IPhWdGU,승리호,승리호 넷플릭스,"[ENG] 영화 [승리호] VFX 메이킹 영상 [SPACE SWEEPERS] vfx making film : 송중기, 김태리, 진선규, 유해진 : 2021 NETFLIX : SF",283779,2200,338,2021-02-08T11:19:38Z
3BbVvCPdmXc,승리호,승리호 넷플릭스,우주를 뒤집어놓으셨다! 승리호 4인방의 입덕 포인트 모음.zip | 승리호 | NETFLIX,256469,4635,544,2021-02-05T09:00:01Z
YeThhNKOAUQ,승리호,승리호 넷플릭스,승리호 여자악당 누구? 뜻밖에 다국언어로 각광받는 승리호 해외반응,241441,3604,383,2021-02-10T14:13:28Z
lt9ywRw0wUU,승리호,승리호 넷플릭스,"🪐입덕 구간 다수🪐 ‘승리호’ 4인방과 빙고 게임하면 벌어지는 일 | 송중기, 김태리, 진선규, 유해진 인터뷰",225797,4180,417,2021-02-10T10:00:16Z
tq4ntD55Vr4,승리호,승리호 넷플릭스,[#씨네리뷰] 한국 SF 영화의 도약 승리호!! 제작 비하인드와 레퍼런스 모음!!,187036,2465,1035,2021-02-05T13:16:52Z
DNZUoBKEUmc,승리호,승리호 넷플릭스,(스포) 당신이 몰랐던 &#39;승리호&#39; 책의 의미,167414,2532,924,2021-02-07T01:41:02Z
zs1q_7W9cTc,승리호,승리호 넷플릭스,[승리호 space sweepers] 겨우 2천만달러로 이런영화를 만들다니 한국은 미쳤어! 넷플릭스공개 하루만에 전세계 1위!!,141046,2036,343,2021-02-07T04:53:00Z
7_MWlRHfIWo,승리호,승리호 넷플릭스,[#뭅뭅픽] 돈밖에 모르는 냉혈한에게 귀여운 아기 로봇이 나타난다면? | Netflix | 승리호,118841,1401,71,2021-02-18T09:00:01Z
hFuKpW2zWi8,승리호,승리호 넷플릭스,중국반응│넷플릭스 한국 SF영화 승리호의 흥행을 본 중국인들│CG 특수효과 수준이 넘사벽│승리호 CG 중국에서 해준거야│중국어로[路],114999,3006,764,2021-02-11T10:00:15Z
sHy852DQVvM,승리호,승리호 넷플릭스,한국 영화 승리호 넷플릭스 세계 1위 차지하자 일본인들 충격받은 이유! 한국 극장 일본이 차지한거 아니었나? 일본 대표 경제지 한국 건드렸다가 일본 산업 완전 망했다고 고백한 상황,110452,3337,309,2021-02-07T21:00:19Z
0zhNH1M13rc,승리호,승리호 넷플릭스,"송중기, 김태리, 진선규, 유해진의 우주 초특급 하이 텐션 #키워드인터뷰 | 승리호 Space Sweepers | Netflix",107382,2589,131,2021-02-11T09:00:02Z
ytwIk2K5Hz8,승리호,승리호 넷플릭스,아무생각 없이 승리호 보다 진짜 놀란 미국인들 I 승리호 해외반응,105228,2276,195,2021-02-07T18:27:39Z
UurnYWvqlZs,승리호,승리호 명장면,승리호 가장 뛰어난 활약을 펼친 주인공 Top 7 - 업동이 가자 !!,141895,1300,329,2021-02-15T03:48:22Z
8aUUkIylKyU,승리호,승리호 명장면,승리호 작살잡이 로봇 업동이 만들기,75634,1051,514,2021-02-14T11:37:06Z
wx0HE8pFmdA,승리호,승리호 명장면,"[승리호 space sweepers] 승리호 업동이 명장면,명대사 하이라이트! 손은 눈보다 빠르다",67259,654,113,2021-02-08T07:50:01Z
FtpQy6ekPiw,승리호,승리호 명장면,난 재밌던데? 이 영화 꼭 봐야 합니다...《승리호》,32952,549,309,2021-02-09T09:00:25Z
BO_3lGK1NaE,승리호,승리호 명장면,승리호 꽃님이가 폭탄이여도 사랑할 수 밖에 없는 이유 (space sweepers - dorothy Compilation),30113,272,77,2021-02-12T07:09:16Z
rJIomiQmREw,승리호,승리호 명장면,승리호 장선장(김태리) 영상 모음 zip,26804,367,13,2021-02-19T08:22:52Z
XyZetCRu5P0,승리호,승리호 명장면,승리호 업동이(유해진) 영상 모음 zip,23349,272,45,2021-02-21T12:50:41Z
1pKpU3ihcWA,승리호,승리호 명장면,#승리호 명장면,2112,20,0,2021-02-10T16:55:29Z
J86q9cUCUHA,승리호,승리호 명장면,승리호 타이거 박(진선규) 영상 모음 zip,1501,14,4,2021-02-27T16:07:19Z
C1KDe1Wm-Qo,승리호,승리호 리뷰,(결말포함)  일본이 실사영화를 하면 안되는 이유ㅣ일본판 승리호ㅣ우주전함 야마토ㅣ 기무라 타쿠야 주연 ㅣ  일본영화 (영화리뷰),204541,1265,497,2021-02-11T22:30:00Z
4XGkJIKSFK0,승리호,승리호 리뷰,(노광고) [승리호] 속 과학 완전 정복! [안될과학 초긴급과학],99613,1549,223,2021-02-10T11:00:02Z
OYjYif-CG4k,승리호,승리호 리뷰,"비주얼은 승리, 각본은 참패... 맙소사! 우주까지 가서 신파라니?!: 승리호 리뷰",91809,1767,1504,2021-02-10T12:30:02Z
TdEVliejbH8,승리호,승리호 리뷰,"[넷플릭스 승리호] 영화만 봐서는 절대 모르는 6가지 (업동이가 여자인 이유, 설리반이 변한 이유) 웹툰 비교 분석",82171,1225,103,2021-02-09T19:56:16Z
AKsLC-RWgn0,승리호,승리호 리뷰,넷플릭스 《승리호》 한국판 SF | 영화 속 숨겨진 세계관 총정리,77066,2563,992,2021-02-11T09:12:21Z
O_Oyl04SOHw,승리호,승리호 리뷰,속이 뻥뚫린다 승리호 완벽해석 들어갑니다 넷플릭스 승리호 결말 숨겨진 의미는?,56653,938,108,2021-02-08T13:20:05Z
0icdCqWaB1E,승리호,승리호 리뷰,&#39;승리호&#39; 솔직한 리뷰,54932,806,591,2021-02-06T11:15:00Z
TEzsgZTq6Tk,승리호,승리호 리뷰,K영화! 넷플릭스 개봉후 미국서 대박난 승리호 놀라운 미국 반응! 승리호 강추하는 3가지 진짜 이유는?? 영화 보다 깜짝 놀란 이유는? 눈물 흘렸다고? 솔직한 영화 리뷰입니다~,50282,2156,238,2021-02-08T04:02:57Z
BBpi4D_DeTI,승리호,승리호 리뷰,[일본반응] &quot;이거 한국영화 맞아?!&quot; 한국영화 &#39;승리호&#39; 전세계 공개! 일본 관객들의 쏟아지는 호평 &quot;굉장해! 굉장하다 한국영화!&quot;,43046,1195,167,2021-02-06T16:34:11Z
refuXVJ9lEs,승리호,승리호 리뷰,[해외반응] &#39;승리호&#39; 해외 리뷰어 반응! #해외 리뷰어 1탄!,35796,671,58,2021-02-15T13:45:46Z
3JAh8EROTXU,승리호,승리호 리뷰,승리호에 열광하고 승리호에 실망하는 이유,21364,467,164,2021-03-04T15:56:47Z
tCJIvvRr8Rg,승리호,승리호 리뷰,과학과사람들Live 곽재식 작가와 함께하는 승리호 리뷰,20043,737,58,2021-02-17T04:17:32Z
rV4Rfl4s5R0,승리호,승리호 리뷰,[#뭅텔러] 가난한 우주 청소부들에게 나타난 200만 달러짜리 꼬마 | 승리호 (Space Sweepers),19215,140,30,2021-02-11T09:00:12Z
67RyVEyM0t8,승리호,승리호 해석,[승리호] 비하인드 스토리 10가지,90624,1159,343,2021-02-08T22:00:04Z
aBaQHDA_0PU,승리호,승리호 해석,소신대로 했습니다...말은 끝까지 들어야 안다 💬승리호 | 영화 리뷰,9211,264,182,2021-02-05T17:21:48Z
brGxXTmgUIw,승리호,승리호 해석,영화 [승리호] 리뷰:첫 단추는 잘 끼웠다. 의의와 한계가 명확했던 영화.,8134,158,152,2021-02-06T09:05:17Z
E20xRlm2se4,승리호,승리호 해석,[승리호]에 대해서 들었던 생각의 거의 모든 것,3407,23,12,2021-02-09T11:15:16Z
9LVRcm5vamk,승리호,승리호 해석,이달의 넷챠🎬넷플릭스 승리호 이깍깨물고 본 사연과 왓챠 징벌 결말 해석(반말임) |클레어,3228,18,11,2021-03-06T12:30:01Z
DPpa_uILlA8,승리호,승리호 해석,[스포일러] 넷플릭스 영화 {승리호} 리뷰 &amp; 해석,871,26,3,2021-02-08T12:08:46Z
dXTuCx4vG0o,승리호,승리호 해석,"[MJ영화해석] 승리호, 진정한 미래는 사랑이다(케슬러증후군) Space Sweepers, 2021 넷플릭스 결말 해석 후기 리뷰",429,0,0,2021-02-06T12:40:23Z
pddKvcJXbQA,승리호,승리호 해석,승리호XRadioactive - Imagine Dragons [가사/해석],292,5,0,2021-02-18T12:20:50Z
i7XQ318XNW0,승리호,승리호 해석,[승리호] 승리호가 로맨스물인 이유 [극한리뷰],278,10,5,2021-02-11T00:45:50Z
BePF5s1SVpw,승리호,승리호 해석,21.02.05 우리 (주)메리크리스마스 너무 고생했어요♡ 승리호 너무 재밋네요!!,43,0,0,2021-02-05T17:55:13Z
UYKElO762Og,승리호,승리호 의미,넷플릭스 전세계 통합순위(’21. 6주차) “승리호” 전세계 통합순위 1위,65241,951,118,2021-02-12T07:31:58Z
U_8FzM1PWVo,승리호,승리호 의미,한 나라가 영화 &#39;승리호&#39;에 깜짝 놀라며 열광한 사연,46272,965,72,2021-02-11T07:30:01Z
eLw1VOIq8Wc,승리호,승리호 의미,《승리호》 긴급 좌담!,32888,721,426,2021-02-11T01:15:53Z
dpE_SGtUCHQ,승리호,승리호 의미,"[앵커리포트] &quot;다변화 vs 하청 전락 우려&quot;...승리호, 그리고 &#39;넷플릭스&#39; / YTN",12412,123,79,2021-02-09T04:24:45Z
TV5X075dqDA,승리호,승리호 의미,"한국형 자뻑영화, 승리호의 대담하고 색다른 헐리웃 따라하기_ 스포있음",8547,543,80,2021-02-18T22:28:10Z
H3oypt5iSDg,승리호,승리호 의미,송중기 김태리 진선규 유해진 주연 영화의 식탁에 나오는 {밥}의 의미,2501,60,10,2021-02-20T09:58:52Z
Xma5CLEodLM,승리호,승리호 의미,넷플릭스 승리호 해외반응 미국 넷플릭스 순위 - 호평과 혹평사이 그 어딘가 - 넷플릭스 승리호 리뷰 SPCAE SWEEPERS REVIEW ENG CC 한글 영어 자막 (결말포함),830,0,2,2021-02-10T07:00:04Z
ZCHhYQhGCp0,승리호,승리호 의미,"[리뷰]&#39;승리호&#39;,조성희감독이쏘아올린성공적인韓SF",38,0,0,2021-02-06T08:05:30Z
rRN6jqfBxYk,승리호,승리호 의미,"[리뷰]&#39;승리호&#39;,조성희감독이쏘아올린성공적인韓SF",35,0,0,2021-02-06T04:47:51Z
