,영화명,mean_score,sqr_mean_score,abs_mean_score
0,1987,3.8607091290941526,68.68554964681093,4.202296334839247
1,23 아이덴티티,-0.3500955463946774,27.23105623473953,2.8439695186201903
2,PMC: 더 벙커,-0.012799214695886178,8.397958951155772,1.6987980620728849
3,가디언즈 오브 갤럭시 VOL. 2,-0.6792497807181945,31.11625985671777,1.9179125108027706
4,강철비,0.8923971634036477,14.903988233531786,2.1533438096171946
5,겟 아웃,-0.6226946150920155,10.641217276243351,1.6843616105189405
6,곤지암,-0.37243469482520736,2.9510280181620914,1.030391490647088
7,골든슬럼버,-0.5687859428603439,12.134095168267107,2.1184551925977204
8,공작,-3.758349577235972,97.14773294089369,4.261624407362854
9,공조,0.20239174571997773,9.462312638532563,1.4424291134486535
10,국가부도의 날,-2.3973719116990284,43.05189731940962,3.6020531404190117
11,군함도,-3.982000705217754,55.54042167410353,4.257388685062957
12,궁합,-0.1829777455714141,23.41732997423407,2.5468723805048272
13,그것만이 내 세상,0.5273847209466405,11.136066233490723,1.984297332346064
14,기억의 밤,0.5208399059416758,27.695441880286666,3.223051683411262
15,꾼,-1.9600899365917546,34.905472285830115,2.63586738820436
16,남한산성,-2.859093900961817,100.97642519886807,4.364925634668925
17,너의 결혼식,3.678847906340189,65.79857300437305,3.927931611949565
18,너의 이름은.,2.9593052114675533,31.670528540274887,3.229189833871515
19,노무현입니다,-1.3214210907082338,19.642107339377567,2.319341946889144
20,더 킹,-1.2094193265427597,37.3937489707647,2.700856412744928
21,덩케르크,1.938788996602198,20.733020510495905,2.502649012717202
22,데드풀 2,0.9873450834852256,6.312655452519107,1.3944706948213184
23,도어락,2.1643785579221513,35.772483428028586,3.433524022594327
24,독전,-0.590882224723898,9.335988187016154,1.4911418561723964
25,램페이지,-4.8931555126767465,116.11322367262035,5.441566281374247
26,레디 플레이어 원,-0.7987044882830227,25.350489054467957,1.29809594947218
27,로건,0.20357488907211815,0.25679222447273375,0.20704209241876229
28,리틀 포레스트,-1.7526328841738277,45.66631520967137,3.7960347948548057
29,마녀,-1.8172014477411256,49.36350966812959,3.2719665998846295
30,마스터,-0.39867437298761155,16.770377538523118,1.6104952462307438
31,마약왕,-1.1579065084229052,23.866972941546454,2.640864291762364
32,맘마미아!2,-0.20269965642915883,22.13316911206449,1.7400450310599864
33,메이즈 러너: 데스 큐어,2.3793031234411566,24.04813566438074,2.682965349277114
34,명당,-3.901108440667293,72.88569005189026,4.277434536441444
35,모아나,-0.9887467261921578,58.97646416936606,2.379841142448084
36,목격자,-2.888518691160535,38.652347607584076,3.492611659471671
37,미녀와 야수,0.27367897199538255,8.462685756247298,1.5784542511831694
38,미션 임파서블: 폴아웃,-0.8723412062384193,24.112055101325076,2.2209480813139324
39,미이라,-2.53689719058365,49.720486783628004,3.127896223102554
